id:ID,name,description,:LABEL
FAC_TEIBO,堤防,河川の洪水を防ぐための土構造物,FacilityType
FAC_KOKIKAKU_TEIBO,高規格堤防,高い耐水性を持つ特殊な堤防,FacilityType
FAC_GOGAN,護岸,堤防や河岸を侵食から守る施設,FacilityType
FAC_SUISEI,水制,流れを制御する河川構造物,FacilityType
FAC_YUKIDOME,床止め（落差工・帯工）,河床の低下を防ぐ横断構造物,FacilityType
FAC_ZEKI,堰,水位調節・取水を行う横断構造物,FacilityType
FAC_HIMON,樋門,堤防を貫通する排水施設,FacilityType
FAC_SUI_MON,水門,河川の流量を調節する門扉施設,FacilityType
FAC_HAISUI_KIJO,排水機場,機械力で排水を行う施設,FacilityType
FAC_DAM,ダム,河川の流量調節・利水を行う大型構造物,FacilityType
FAC_CONCRETE_DAM,コンクリートダム,コンクリートで築造したダム,FacilityType
FAC_FILL_DAM,フィルダム,土・岩石等で築造したダム,FacilityType
FAC_SABO_DAM,砂防堰堤,土砂流を捕捉・調節する横断構造物,FacilityType
FAC_YUKODOME_SABO,床固工（砂防）,渓床の侵食を防ぐ砂防施設,FacilityType
FAC_SANBUKU_KO,山腹工,斜面を安定させる植生・構造物工,FacilityType
FAC_KEIRYU_HOZEN,渓流保全工,渓床・渓岸を保護する施設,FacilityType
FAC_DOSEKIRYU_DORYUKO,土石流導流工,土石流を安全な場所に誘導する施設,FacilityType
FAC_JISUBERI_BOSHI,地すべり防止施設,地すべりを抑制・防止する施設,FacilityType
FAC_KYUKEISHA_BOSHI,急傾斜地崩壊防止施設,急傾斜地の崩壊を防ぐ施設,FacilityType
FAC_NADARE_TAISAKU,雪崩対策施設,雪崩の発生・拡大を防止する施設,FacilityType
TC_HYDRO_ANALYSIS,水文統計解析,流量・雨量データの統計的解析,TechnicalConcept
TC_RUNOFF_ANALYSIS,流出解析,降雨から流出量を推定する手法,TechnicalConcept
TC_FLOOD_ANALYSIS,洪水流解析,洪水時の流れを数値的に解析する手法,TechnicalConcept
TC_HINRAN_ANALYSIS,氾濫解析,洪水の氾濫域・水深を解析する手法,TechnicalConcept
TC_KASEN_HEN_ANALYSIS,河床変動解析,河床の侵食・堆積を予測する解析,TechnicalConcept
TC_SAND_TRANSPORT,土砂流送解析,土砂の移動・堆積を解析する手法,TechnicalConcept
TC_LONGEVITY,長寿命化計画,施設を長期にわたり適切に維持するための計画,TechnicalConcept
TC_INSPECTION_REGULAR,定期点検,定期的に施設の状態を確認する点検,TechnicalConcept
TC_INSPECTION_TEMP,臨時点検,異常時等に行う臨時の点検,TechnicalConcept
TC_INSPECTION_DETAIL,詳細点検,専門的な手法で施設を詳細に調査する点検,TechnicalConcept
TC_HEALTH_EVAL,健全度評価,点検結果に基づく施設の健全性評価,TechnicalConcept
TC_PREVENTIVE_MAINT,予防保全,損傷が進行する前に対策を行う維持管理方式,TechnicalConcept
TC_MONITORING,状態監視保全,施設の状態を監視しながら行う維持管理,TechnicalConcept
TC_CYCLE_MAINT,サイクル型維持管理,点検→診断→対策のサイクルで行う維持管理体系,TechnicalConcept
TC_KEIRYU_FLOW_MAST,流水管理（ダム操作）,洪水・利水等のためダムの操作を管理すること,TechnicalConcept
TC_TAISA_TAISAKU,堆砂対策,ダム貯水池の堆砂を管理・除去する対策,TechnicalConcept
TC_PLAN_KOSUI,計画高水流量,治水計画の基準となる洪水流量,TechnicalConcept
TC_ANTEI_KEISAN,安定計算,構造物の安全性を評価する力学的計算,TechnicalConcept
TC_JUSHINKIDO_HYOKA,長寿命化計画,施設の耐久性・長寿命化を図るための計画,TechnicalConcept
TC_KANKYO_CHOSA,河川環境調査,河川の生態・水質・景観を調査すること,TechnicalConcept
TC_MIZUSHITSU_CHOSA,水質調査,河川・貯水池の水質を測定・評価すること,TechnicalConcept
TC_KASEN_KEIKAKU,河道計画,河川の形状・断面・勾配等の計画,TechnicalConcept
HZ_FLOOD,洪水,河川の流量増加による氾濫災害,HazardType
HZ_DOSEKIRYU,土石流,土砂・岩石が水と混合して流下する災害,HazardType
HZ_LANDSLIDE,地すべり,斜面が地下水等により緩やかに移動する災害,HazardType
HZ_KYUKEISHA_HOJI,急傾斜地崩壊,急斜面が突発的に崩落する災害,HazardType
HZ_AVALANCHE,雪崩,積雪が急速に斜面を流下する災害,HazardType
HZ_TSUNAMI,津波,海底地震等による大規模海面変動,HazardType
HZ_HIGH_TIDE,高潮,台風等による異常な海面上昇,HazardType
HZ_SHINSUI,浸水,河川氾濫や内水による浸水被害,HazardType
RT_KANGAEKATA,考え方,目的・概念・考え方を記述した技術資料,RequirementType
RT_HISSU,必須,法令規定や技術的観点から遵守すべき事項,RequirementType
RT_HYOJUN,標準,特段の事情がない限り従うべき事項,RequirementType
RT_SUISHO,推奨,状況・条件によって実施することが良い事項,RequirementType
RT_REIJI,例示,技術的理解を助けるための例示事項,RequirementType
PC_CHOSA,調査,河川等の状況を把握するための調査プロセス,ProcessConcept
PC_KEIKAKU,計画,調査結果に基づく河川整備計画策定プロセス,ProcessConcept
PC_SEKKEI,設計,施設の詳細設計を行うプロセス,ProcessConcept
PC_IJIKANRI,維持管理,施設を適切な状態に保つための管理プロセス,ProcessConcept
